time,CuClamp1[C],Getter[C],CuClamp2[C],bot-tank-lks[C],top-tank-lks[C],Med-bench[C],Det-bench[C],bot-tank-pt100[C],top-tank-pt100[C],EMCCDBack[C],Reject[C],Coldhead[C],DOBC-PV[C],NUVU-in[C],NUVU-out[C],Dewar-water[C]
08/31/17 00:00:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.662052,14.153138,22.874509,21.141330,20.878656,015.1   ,19.65   ,34.316795,13.958067,19.232175,13.812281
08/31/17 00:01:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.597803,14.296343,22.964561,21.070631,20.950647,015.1   ,19.65   ,34.114242,13.966067,19.445823,13.319962
08/31/17 00:02:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.641408,14.542760,22.982107,21.294342,20.889493,015.1   ,19.65   ,34.232677,13.993160,19.135156,13.292869
08/31/17 00:03:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.644247,14.697578,23.024166,21.181066,21.313434,015.2   ,19.65   ,34.268543,13.987741,19.311906,12.998201
08/31/17 00:04:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.779195,14.569080,22.865995,21.385425,20.900588,015.2   ,19.65   ,34.228290,14.022832,18.952730,12.836933
08/31/17 00:05:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.769392,14.613203,23.244264,21.112947,20.875560,015.1   ,19.65   ,34.383365,14.099209,19.393701,12.637992
08/31/17 00:06:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.736364,14.561080,22.923534,21.186227,21.239639,015.0   ,19.65   ,34.308795,14.055344,19.484270,12.729850
08/31/17 00:07:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.670824,14.589206,22.875284,21.421291,21.084564,014.9   ,19.65   ,34.396011,14.186681,18.936216,12.168638
08/31/17 00:08:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.763973,14.561855,23.055130,21.240156,21.324531,014.8   ,19.65   ,34.505672,14.171199,19.290489,11.962989
08/31/17 00:09:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.724235,14.406521,22.999395,21.383619,21.127912,014.6   ,19.65   ,34.546440,14.297634,19.097484,11.873711
08/31/17 00:10:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.775842,14.334790,22.946241,21.325304,21.111141,014.5   ,19.65   ,34.476772,14.303568,19.265460,11.389391
08/31/17 00:11:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.804225,14.344594,23.000427,21.606040,21.326337,014.4   ,19.65   ,34.599853,14.294021,19.133350,11.714508
08/31/17 00:12:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.731719,14.252737,23.375343,21.459480,21.457157,014.3   ,19.65   ,34.536121,14.636683,19.186246,11.398422
08/31/17 00:13:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.704368,14.028767,22.715305,21.253829,21.201192,014.2   ,19.65   ,34.662555,14.451934,19.335903,11.280244
08/31/17 00:14:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.754167,14.129656,22.787553,21.260282,20.980062,014.1   ,19.65   ,34.562698,14.624040,18.938796,11.754759
08/31/17 00:15:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.711593,13.890722,22.878379,21.480638,20.985996,014.1   ,19.65   ,34.656360,14.615009,19.288167,12.210954
08/31/17 00:16:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.650440,13.976387,22.903924,21.528373,20.972320,014.2   ,19.65   ,34.640880,14.423551,19.124061,12.602127
08/31/17 00:17:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.760103,14.048893,22.855672,21.670547,21.016185,014.6   ,19.65   ,34.642684,14.499412,19.031686,12.941692
08/31/17 00:18:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.774036,14.392330,23.072675,21.434967,21.176164,014.7   ,19.65   ,34.719322,14.672033,19.331001,12.929306
08/31/17 00:19:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.793130,14.364463,23.299741,21.377685,21.023153,014.6   ,19.55   ,34.783054,14.723639,19.608123,12.493754
08/31/17 00:20:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.711593,14.480318,22.700857,21.306468,21.195516,014.7   ,19.55   ,34.779441,14.858330,19.369445,12.704306
08/31/17 00:21:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.804998,14.535278,22.871929,21.535856,20.963291,014.6   ,19.55   ,34.734027,14.900131,18.841003,12.284235
08/31/17 00:22:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.716753,14.407037,22.895668,21.515472,20.767963,014.5   ,19.55   ,34.846012,14.528311,19.042781,12.193408
08/31/17 00:23:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,20.014518,14.409876,22.764331,21.383102,21.010509,014.5   ,19.55   ,34.836982,14.873038,18.997884,11.818751
08/31/17 00:24:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.860218,14.457096,22.867801,21.376394,21.077596,014.4   ,19.55   ,34.863300,14.964638,19.018527,11.661870
08/31/17 00:25:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.868215,14.323952,22.677118,21.486572,20.977224,014.3   ,19.55   ,34.984573,14.316211,19.457693,11.613360
08/31/17 00:26:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,20.111795,14.273120,23.350830,21.818914,20.938261,014.2   ,19.55   ,34.859947,14.680032,19.289974,11.524082
08/31/17 00:27:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.760618,14.236996,22.839933,21.588752,20.968193,014.1   ,19.55   ,35.048309,15.164094,19.368673,11.308112
08/31/17 00:28:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.960075,14.012512,22.486434,21.803947,20.843050,014.1   ,19.55   ,34.999023,14.783760,18.743984,12.261786
08/31/17 00:29:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,20.065092,14.128624,23.027004,21.612491,21.066501,014.2   ,19.55   ,35.041084,15.025532,19.201469,12.273655
08/31/17 00:30:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.836994,14.113142,22.522043,21.513666,20.820343,014.5   ,19.55   ,34.989994,14.822206,18.912220,12.774231
08/31/17 00:31:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.820739,14.253768,22.792455,21.642164,20.995027,014.6   ,19.55   ,35.105331,14.869683,19.221595,12.897311
08/31/17 00:32:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,20.070510,14.413488,22.702663,21.713895,21.115268,014.6   ,19.55   ,34.981479,14.724155,19.306745,12.715401
08/31/17 00:33:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.949495,14.479027,23.472620,21.705638,21.300792,014.6   ,19.55   ,35.060691,14.583271,19.182891,12.618124
08/31/17 00:34:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,20.031032,14.710222,22.820323,21.540758,20.665008,014.6   ,19.55   ,35.224800,14.916902,19.428277,11.932025
08/31/17 00:35:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.786163,14.463546,22.652605,21.472381,20.935939,014.5   ,19.55   ,35.090106,14.641586,18.740888,12.032657
08/31/17 00:36:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,20.225843,14.526247,22.673246,21.435741,21.188034,014.5   ,19.55   ,35.161067,14.829947,19.202243,11.602522
08/31/17 00:37:15,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.970653,14.414262,22.724079,21.705638,21.101078,014.4   ,19.55   ,35.228412,15.240729,18.939828,11.738762
08/31/17 00:38:14,NAN     ,NAN     ,NAN     ,NAN     ,NAN     ,19.843444,14.411424,22.823678,21.554176,21.039924,014.3   ,19.55   ,35.240539,14.861168,19.356544,11.527953
